지표연도,시도,시군구,CRE수
2022,전국,전국,30548
2022,서울,서울,9153
2022,서울,강남구,545
2022,서울,강동구,647
2022,서울,강북구,47
2022,서울,강서구,180
2022,서울,관악구,87
2022,서울,광진구,248
2022,서울,구로구,639
2022,서울,금천구,48
2022,서울,노원구,388
2022,서울,도봉구,72
2022,서울,동대문구,239
2022,서울,동작구,173
2022,서울,마포구,5
2022,서울,서대문구,1023
2022,서울,서초구,417
2022,서울,성동구,216
2022,서울,성북구,523
2022,서울,송파구,1441
2022,서울,양천구,318
2022,서울,영등포구,614
2022,서울,용산구,73
2022,서울,은평구,453
2022,서울,종로구,448
2022,서울,중구,124
2022,서울,중랑구,185
2022,부산,부산,2501
2022,부산,강서구,3
2022,부산,금정구,36
2022,부산,기장군,36
2022,부산,남구,62
2022,부산,동구,54
2022,부산,동래구,120
2022,부산,부산진구,364
2022,부산,북구,62
2022,부산,사상구,74
2022,부산,사하구,41
2022,부산,서구,878
2022,부산,수영구,154
2022,부산,연제구,90
2022,부산,영도구,32
2022,부산,중구,18
2022,부산,해운대구,477
2022,대구,대구,1799
2022,대구,남구,663
2022,대구,달서구,415
2022,대구,달성군,18
2022,대구,동구,185
2022,대구,북구,167
2022,대구,서구,156
2022,대구,수성구,33
2022,대구,중구,162
2022,대구,군위군,0
2022,인천,인천,2679
2022,인천,강화군,49
2022,인천,계양구,137
2022,인천,미추홀구,360
2022,인천,남동구,856
2022,인천,동구,25
2022,인천,부평구,244
2022,인천,서구,327
2022,인천,연수구,54
2022,인천,옹진군,0
2022,인천,중구,627
2022,광주,광주,490
2022,광주,광산구,61
2022,광주,남구,50
2022,광주,동구,287
2022,광주,북구,77
2022,광주,서구,15
2022,대전,대전,710
2022,대전,대덕구,24
2022,대전,동구,9
2022,대전,서구,442
2022,대전,유성구,5
2022,대전,중구,230
2022,울산,울산,344
2022,울산,남구,34
2022,울산,동구,189
2022,울산,북구,12
2022,울산,울주군,7
2022,울산,중구,102
2022,경기,경기,6600
2022,경기,가평군,7
2022,경기,고양시 덕양구,284
2022,경기,고양시 일산동구,316
2022,경기,고양시 일산서구,149
2022,경기,과천시,0
2022,경기,광명시,51
2022,경기,광주시,44
2022,경기,구리시,128
2022,경기,군포시,111
2022,경기,김포시,304
2022,경기,남양주시,435
2022,경기,동두천시,9
2022,경기,부천시 소사구,0
2022,경기,부천시 오정구,0
2022,경기,성남시 분당구,256
2022,경기,성남시 수정구,99
2022,경기,성남시 중원구,19
2022,경기,수원시 권선구,54
2022,경기,수원시 영통구,129
2022,경기,수원시 장안구,204
2022,경기,수원시 팔달구,268
2022,경기,시흥시,183
2022,경기,안산시 단원구,252
2022,경기,안산시 상록구,53
2022,경기,안성시,41
2022,경기,안양시 동안구,402
2022,경기,안양시 만안구,106
2022,경기,양주시,36
2022,경기,양평군,14
2022,경기,여주시,26
2022,경기,연천군,10
2022,경기,오산시,191
2022,경기,용인시 기흥구,183
2022,경기,용인시 수지구,10
2022,경기,용인시 처인구,59
2022,경기,의왕시,10
2022,경기,의정부시,567
2022,경기,이천시,4
2022,경기,파주시,67
2022,경기,평택시,220
2022,경기,포천시,59
2022,경기,하남시,9
2022,경기,화성시,270
2022,경기,부천시,961
2022,강원,강원,706
2022,강원,강릉시,99
2022,강원,고성군,0
2022,강원,동해시,7
2022,강원,삼척시,3
2022,강원,속초시,4
2022,강원,양구군,0
2022,강원,양양군,0
2022,강원,영월군,0
2022,강원,원주시,223
2022,강원,인제군,0
2022,강원,정선군,0
2022,강원,철원군,0
2022,강원,춘천시,360
2022,강원,태백시,3
2022,강원,평창군,0
2022,강원,홍천군,0
2022,강원,화천군,0
2022,강원,횡성군,7
2022,충북,충북,302
2022,충북,괴산군,14
2022,충북,단양군,0
2022,충북,보은군,1
2022,충북,영동군,9
2022,충북,옥천군,1
2022,충북,음성군,21
2022,충북,제천시,15
2022,충북,증평군,0
2022,충북,진천군,26
2022,충북,충주시,15
2022,충북,청주시 상당구,52
2022,충북,청주시 흥덕구,50
2022,충북,청주시 서원구,73
2022,충북,청주시 청원구,25
2022,충남,충남,803
2022,충남,계룡시,0
2022,충남,공주시,7
2022,충남,금산군,7
2022,충남,논산시,65
2022,충남,당진시,9
2022,충남,보령시,19
2022,충남,부여군,3
2022,충남,서산시,10
2022,충남,서천군,4
2022,충남,아산시,212
2022,충남,예산군,9
2022,충남,청양군,0
2022,충남,태안군,0
2022,충남,홍성군,17
2022,충남,천안시 동남구,277
2022,충남,천안시 서북구,164
2022,전북,전북,1213
2022,전북,고창군,33
2022,전북,군산시,117
2022,전북,김제시,24
2022,전북,남원시,2
2022,전북,무주군,0
2022,전북,부안군,24
2022,전북,순창군,3
2022,전북,완주군,1
2022,전북,익산시,267
2022,전북,임실군,0
2022,전북,장수군,0
2022,전북,전주시 덕진구,382
2022,전북,전주시 완산구,324
2022,전북,정읍시,36
2022,전북,진안군,0
2022,전남,전남,425
2022,전남,강진군,0
2022,전남,고흥군,15
2022,전남,곡성군,0
