지표연도,시도,시군구,지표명,분모,분자,항생제 처방률
2009,전국,전체,항생제처방률,637922934,164516142,25.79
2009,서울특별시,전체,항생제처방률,130888808,33215559,25.38
2009,서울특별시,종로구,항생제처방률,4772089,771681,16.17
2009,서울특별시,중구,항생제처방률,3615325,885028,24.48
2009,서울특별시,용산구,항생제처방률,2502222,649521,25.96
2009,서울특별시,성동구,항생제처방률,3572858,985109,27.57
2009,서울특별시,광진구,항생제처방률,4534525,1203088,26.53
2009,서울특별시,동대문구,항생제처방률,5485119,1191571,21.72
2009,서울특별시,중랑구,항생제처방률,4430945,1219675,27.53
2009,서울특별시,성북구,항생제처방률,5289543,1388123,26.24
2009,서울특별시,강북구,항생제처방률,4682208,1266111,27.04
2009,서울특별시,도봉구,항생제처방률,3615560,1001643,27.7
2009,서울특별시,노원구,항생제처방률,6926651,1932722,27.9
2009,서울특별시,은평구,항생제처방률,5331857,1449146,27.18
2009,서울특별시,서대문구,항생제처방률,4756993,1078484,22.67
2009,서울특별시,마포구,항생제처방률,4623814,1302360,28.17
2009,서울특별시,양천구,항생제처방률,5369165,1489241,27.74
2009,서울특별시,강서구,항생제처방률,6377864,1835761,28.78
2009,서울특별시,구로구,항생제처방률,5062710,1456858,28.78
2009,서울특별시,금천구,항생제처방률,2663756,820611,30.81
2009,서울특별시,영등포구,항생제처방률,6279312,1663934,26.5
2009,서울특별시,동작구,항생제처방률,5072088,1282177,25.28
2009,서울특별시,관악구,항생제처방률,5366971,1486546,27.7
2009,서울특별시,서초구,항생제처방률,5561723,1178246,21.18
2009,서울특별시,강남구,항생제처방률,10042913,2138040,21.29
2009,서울특별시,송파구,항생제처방률,8386749,2084032,24.85
2009,서울특별시,강동구,항생제처방률,6565848,1455851,22.17
2009,부산광역시,전체,항생제처방률,47788784,11735769,24.56
2009,부산광역시,중구,항생제처방률,1464687,303615,20.73
2009,부산광역시,서구,항생제처방률,2964369,520804,17.57
2009,부산광역시,동구,항생제처방률,2336365,374389,16.02
2009,부산광역시,영도구,항생제처방률,2073907,532986,25.7
2009,부산광역시,부산진구,항생제처방률,6475749,1553578,23.99
2009,부산광역시,동래구,항생제처방률,3898129,927770,23.8
2009,부산광역시,남구,항생제처방률,3138771,819560,26.11
2009,부산광역시,북구,항생제처방률,3662382,992847,27.11
2009,부산광역시,해운대구,항생제처방률,4604588,1230231,26.72
2009,부산광역시,사하구,항생제처방률,4467393,1287081,28.81
2009,부산광역시,금정구,항생제처방률,3098550,813849,26.27
2009,부산광역시,강서구,항생제처방률,246547,65136,26.42
2009,부산광역시,연제구,항생제처방률,3124039,706157,22.6
2009,부산광역시,수영구,항생제처방률,2273322,543300,23.9
2009,부산광역시,사상구,항생제처방률,2938796,840811,28.61
2009,부산광역시,기장군,항생제처방률,1021190,223655,21.9
2009,대구광역시,전체,항생제처방률,33250381,8345494,25.1
2009,대구광역시,중구,항생제처방률,3487351,557829,16
2009,대구광역시,동구,항생제처방률,4336935,1013298,23.36
2009,대구광역시,서구,항생제처방률,2719888,664702,24.44
2009,대구광역시,남구,항생제처방률,2966070,509963,17.19
2009,대구광역시,북구,항생제처방률,5434758,1582802,29.12
2009,대구광역시,수성구,항생제처방률,5107506,1365215,26.73
2009,대구광역시,달서구,항생제처방률,7556475,2134752,28.25
2009,대구광역시,달성군,항생제처방률,1641398,516933,31.49
2009,인천광역시,전체,항생제처방률,31703986,8869900,27.98
2009,인천광역시,중구,항생제처방률,1559060,314499,20.17
2009,인천광역시,동구,항생제처방률,1280852,304288,23.76
2009,인천광역시,남구,항생제처방률,5078474,1333380,26.26
2009,인천광역시,연수구,항생제처방률,2691171,832365,30.93
2009,인천광역시,남동구,항생제처방률,5905106,1605933,27.2
2009,인천광역시,부평구,항생제처방률,6629893,2013020,30.36
2009,인천광역시,계양구,항생제처방률,3561961,1001965,28.13
2009,인천광역시,서구,항생제처방률,4150483,1325353,31.93
2009,인천광역시,강화군,항생제처방률,730074,127474,17.46
2009,인천광역시,옹진군,항생제처방률,116912,11623,9.94
2009,광주광역시,전체,항생제처방률,18763701,5216529,27.8
2009,광주광역시,동구,항생제처방률,2856492,532365,18.64
2009,광주광역시,서구,항생제처방률,3660038,1156349,31.59
2009,광주광역시,남구,항생제처방률,2698991,664973,24.64
2009,광주광역시,북구,항생제처방률,5419838,1480097,27.31
2009,광주광역시,광산구,항생제처방률,4128342,1382745,33.49
2009,대전광역시,전체,항생제처방률,21574197,5431835,25.18
2009,대전광역시,동구,항생제처방률,3130213,755890,24.15
2009,대전광역시,중구,항생제처방률,4828845,965736,20
2009,대전광역시,서구,항생제처방률,7737720,1969655,25.46
2009,대전광역시,유성구,항생제처방률,2847747,838091,29.43
2009,대전광역시,대덕구,항생제처방률,3029672,902463,29.79
2009,울산광역시,전체,항생제처방률,13493519,3998896,29.64
2009,울산광역시,중구,항생제처방률,2395568,733832,30.63
2009,울산광역시,남구,항생제처방률,5231362,1513962,28.94
2009,울산광역시,동구,항생제처방률,2599798,661209,25.43
2009,울산광역시,북구,항생제처방률,1497412,503613,33.63
2009,울산광역시,울주군,항생제처방률,1769379,586280,33.13
2009,경기도,전체,항생제처방률,129575172,38006526,29.33
2009,경기도,수원시 장안구,항생제처방률,3140294,1004839,32
2009,경기도,수원시 권선구,항생제처방률,2705206,850919,31.45
2009,경기도,수원시 팔달구,항생제처방률,3922571,992692,25.31
2009,경기도,수원시 영통구,항생제처방률,3637032,1095972,30.13
2009,경기도,성남시 수정구,항생제처방률,2571240,804569,31.29
2009,경기도,성남시 중원구,항생제처방률,2971790,858826,28.9
2009,경기도,성남시 분당구,항생제처방률,6601939,1407124,21.31
2009,경기도,의정부시,항생제처방률,5426095,1581820,29.15
2009,경기도,안양시 만안구,항생제처방률,2784196,721312,25.91
2009,경기도,안양시 동안구,항생제처방률,4400208,1386761,31.52
2009,경기도,부천시 원미구,항생제처방률,6178676,1688059,27.32
2009,경기도,부천시 소사구,항생제처방률,2630049,734571,27.93
2009,경기도,부천시 오정구,항생제처방률,2050666,629286,30.69
2009,경기도,광명시,항생제처방률,3875578,1188856,30.68
2009,경기도,평택시,항생제처방률,5355869,1395052,26.05
2009,경기도,동두천시,항생제처방률,1218306,380163,31.2
2009,경기도,안산시 상록구,항생제처방률,3135965,987081,31.48
2009,경기도,안산시 단원구,항생제처방률,4806354,1340147,27.88
2009,경기도,고양시 덕양구,항생제처방률,3901642,1235466,31.67
2009,경기도,고양시 일산동구,항생제처방률,3646744,775766,21.27
2009,경기도,고양시 일산서구,항생제처방률,3774537,1010532,26.77
2009,경기도,과천시,항생제처방률,657319,171062,26.02
2009,경기도,구리시,항생제처방률,2806015,878748,31.32
2009,경기도,남양주시,항생제처방률,5018900,1682175,33.52
2009,경기도,오산시,항생제처방률,1919706,646358,33.67
2009,경기도,시흥시,항생제처방률,4067993,1506979,37.04
2009,경기도,군포시,항생제처방률,2943827,935077,31.76
2009,경기도,의왕시,항생제처방률,1221456,368890,30.2
2009,경기도,하남시,항생제처방률,1515331,504487,33.29
2009,경기도,용인시,항생제처방률,33021,15086,45.69
2009,경기도,용인시 처인구,항생제처방률,2069362,646278,31.23
2009,경기도,용인시 기흥구,항생제처방률,2859512,954737,33.39
2009,경기도,용인시 수지구,항생제처방률,2499030,761482,30.47
2009,경기도,파주시,항생제처방률,3227712,898322,27.83
2009,경기도,이천시,항생제처방률,2406318,757505,31.48
2009,경기도,안성시,항생제처방률,1782419,458671,25.73
2009,경기도,김포시,항생제처방률,2546110,807986,31.73
2009,경기도,화성시,항생제처방률,4663765,1571990,33.71
2009,경기도,광주시,항생제처방률,2269199,703449,31
2009,경기도,양주시,항생제처방률,1316075,477486,36.28
2009,경기도,포천시,항생제처방률,1637094,482151,29.45
2009,경기도,여주군,항생제처방률,1218078,271600,22.3
2009,경기도,연천군,항생제처방률,466917,88292,18.91
2009,경기도,가평군,항생제처방률,642386,120744,18.8
2009,경기도,양평군,항생제처방률,1052670,227158,21.58
2009,강원도,전체,항생제처방률,18529754,4471071,24.13
2009,강원도,춘천시,항생제처방률,3326257,729770,21.94
2009,강원도,원주시,항생제처방률,4147281,1169522,28.2
2009,강원도,강릉시,항생제처방률,2861201,592468,20.71
2009,강원도,동해시,항생제처방률,1284706,364695,28.39
2009,강원도,태백시,항생제처방률,677435,197908,29.21
2009,강원도,속초시,항생제처방률,1376331,346499,25.18
2009,강원도,삼척시,항생제처방률,764383,154284,20.18
2009,강원도,홍천군,항생제처방률,893400,201617,22.57
2009,강원도,횡성군,항생제처방률,422682,86715,20.52
2009,강원도,영월군,항생제처방률,492734,113258,22.99
2009,강원도,평창군,항생제처방률,329027,70659,21.48
2009,강원도,정선군,항생제처방률,337069,60088,17.83
2009,강원도,철원군,항생제처방률,513482,128900,25.1
2009,강원도,화천군,항생제처방률,219886,48965,22.27
2009,강원도,양구군,항생제처방률,150241,34542,22.99
2009,강원도,인제군,항생제처방률,298487,90706,30.39
2009,강원도,고성군,항생제처방률,251762,51268,20.36
2009,강원도,양양군,항생제처방률,183390,29207,15.93
2009,충청북도,전체,항생제처방률,21024301,5107878,24.3
2009,충청북도,청주시 상당구,항생제처방률,4276155,1102995,25.79
2009,충청북도,청주시 흥덕구,항생제처방률,5226686,1461334,27.96
2009,충청북도,충주시,항생제처방률,2917809,761184,26.09
2009,충청북도,제천시,항생제처방률,2115973,453691,21.44
2009,충청북도,청원군,항생제처방률,1091725,275111,25.2
