index,瘤钎楷档,矫档,矫焙备,瘤钎疙,盒葛,盒磊,亲积力 贸规伏,CRE荐,惑鞭辆钦捍盔,辆钦捍盔,捍盔,夸剧捍盔,狼盔,摹苞捍盔,摹苞狼盔,炼魂盔,茄规捍盔,茄狼盔,焊扒狼丰盔,焊扒家,焊扒瘤家,焊扒柳丰家,距惫
2155,2017,傈惫,傈惫,亲积力贸规伏,772157528,151461368,19.62,5717,72076.56954404604,504535.9868083223,2442222.368038955,2517651.336166445,51093906.81027003,378821.0399291722,28657979.29057105,45257.38087649402,496154.99034971226,23324313.14431164,25142.989375830013,403964.0293050022,2207554.467197875,3189807.252146967,36101980.34510846
2156,2017,辑匡,辑匡,亲积力贸规伏,157748412,28663393,18.17,1776,18389.968470739197,56483.474588698955,290298.788002383,148433.31694239494,10538765.502910042,90636.27317721462,6239453.5882865125,5254.276705925485,56483.474588698955,4701264.082626827,0.0,32839.229412034285,5254.276705925485,0.0,6479836.747582604
2157,2017,辑匡,辆肺备,亲积力贸规伏,6735540,757622,11.25,87,486.0779982585583,1492.9538517941432,7673.088401081527,3923.3438430869346,278557.4128591724,2395.670134274323,164919.32083772513,138.87942807387378,1492.9538517941432,124262.36826909857,0.0,867.9964254617113,138.87942807387378,0.0,171273.05467210486
2158,2017,辑匡,吝备,亲积力贸规伏,4097267,764838,18.67,10,490.70766692635533,1507.1735484166627,7746.171027908896,3960.7118830484396,281210.54369643924,2418.48778699418,166490.10127858486,140.20219055038723,1507.1735484166627,125445.90999495897,0.0,876.2636909399204,140.20219055038723,0.0,172904.35149626507
2159,2017,辑匡,侩魂备,亲积力贸规伏,2608698,482213,18.48,10,309.3800467439622,950.2387149993125,4883.785023601118,2497.1389487191236,177296.8653590578,1524.8016589523854,104968.2301452729,88.3942990697035,950.2387149993125,79090.7990926172,0.0,552.4643691856469,88.3942990697035,0.0,109012.26932771184
2160,2017,辑匡,己悼备,亲积力贸规伏,3977851,787978,19.81,50,505.5539159525228,1552.7727418541772,7980.5296732505385,4080.542321616791,289718.50483479217,2491.658585766005,171527.22148389166,144.44397598643508,1552.7727418541772,129241.24751386279,0.0,902.7748499152193,144.44397598643508,0.0,178135.53338527106
2161,2017,辑匡,堡柳备,亲积力贸规伏,5281273,1034012,19.58,62,663.4053434764676,2037.6021263920077,10472.327207735667,5354.628843774346,380178.64790797856,3269.6406214197336,225083.95582237295,189.5443838504193,2037.6021263920077,169594.83745016268,0.0,1184.6523990651208,189.5443838504193,0.0,233755.61138352964
2162,2017,辑匡,悼措巩备,亲积力贸规伏,6377386,961931,15.08,46,617.1593419183356,1895.5608358920306,9742.301040282297,4981.357545483708,353676.38572934334,3041.713899454654,209393.34815086384,176.33124054809585,1895.5608358920306,157772.3774804088,0.0,1102.0702534255993,176.33124054809585,0.0,217460.50240593925
2163,2017,辑匡,吝尔备,亲积力贸规伏,5447558,1108549,20.35,29,711.227074836167,2184.4831584253698,11227.227395628064,5740.618532606205,407583.9158150406,3505.333440263966,241309.1861051281,203.20773566747627,2184.4831584253698,181820.1214884744,0.0,1270.0483479217269,203.20773566747627,0.0,250605.94001191514
2164,2017,辑匡,己合备,亲积力贸规伏,5762721,1102671,19.13,42,707.4558452866505,2172.9000962375694,11167.695843453554,5710.179322670821,405422.7319096284,3486.7466660556347,240029.661793685,202.13024151047156,2172.9000962375694,180856.03359149443,0.0,1263.3140094404473,202.13024151047156,0.0,249277.12034278907
2165,2017,辑匡,碍合备,亲积力贸规伏,4656363,930539,19.98,6,597.0187434123093,1833.7004261949496,9424.367306722881,4818.794143256496,342134.3841712112,2942.449521103524,202559.93080060493,170.57678383208835,1833.7004261949496,152623.57733376106,0.0,1066.1048989505523,170.57678383208835,0.0,210363.81866092296
2166,2017,辑匡,档豪备,亲积力贸规伏,3991125,727031,18.22,9,466.45130837266856,1432.6718757160534,7363.267082168553,3764.928417579396,267309.91764813714,2298.938591265295,158260.26534072682,133.271802392191,1432.6718757160534,119244.9451904129,0.0,832.9487649511939,133.271802392191,0.0,164357.45030016956
2167,2017,辑匡,畴盔备,亲积力贸规伏,8100094,1604367,19.81,29,1029.3358691169058,3161.5315980019245,16248.80193391687,8308.210943586453,589882.9769946382,5073.155354933321,349238.95559323585,294.0959626048302,3161.5315980019245,263142.36254067183,0.0,1838.099766280189,294.0959626048302,0.0,362693.84588240687
2168,2017,辑匡,篮乞备,亲积力贸规伏,6389893,1259047,19.7,19,807.784152880253,2481.051326703634,12751.449841895423,6519.972091104899,462918.01846844784,3981.22189633839,274069.62329865724,230.79547225150083,2481.051326703634,206504.24879703036,0.0,1442.4717015718804,230.79547225150083,0.0,284628.51615416346
2169,2017,辑匡,辑措巩备,亲积力贸规伏,6384275,909778,14.25,410,583.6988222354613,1792.7892397232024,9214.102836716924,4711.283350900509,334501.11791393615,2876.801338160488,198040.67182988863,166.77109206727462,1792.7892397232024,149218.434627194,0.0,1042.3193254204666,166.77109206727462,0.0,205670.44929196645
2170,2017,辑匡,付器备,亲积力贸规伏,5293512,1167770,22.06,0,749.2223087851153,2301.1828055542824,11827.009302965034,6047.294349479859,429357.89881307003,3692.59566472664,254200.42619494983,214.0635167957472,2301.1828055542824,191533.33165299482,0.0,1337.8969799734202,214.0635167957472,0.0,263993.83208835527
2171,2017,辑匡,剧玫备,亲积力贸规伏,6223570,1283774,20.63,51,823.6485953897621,2529.7778286971266,13001.881398652675,6648.020805645938,472009.4772008616,4059.410934420971,279452.20200724073,235.3281701113606,2529.7778286971266,210559.8802071399,0.0,1470.801063196004,235.3281701113606,0.0,290218.4657898355
2172,2017,辑匡,碍辑备,亲积力贸规伏,7577324,1673715,22.09,6,1073.8284221621375,3298.1872966408505,16951.148664130884,8667.329407451538,615380.3879290592,5292.440080656249,364334.6432335823,306.8081206177535,3298.1872966408505,274516.56592273497,0.0,1917.5507538609597,306.8081206177535,0.0,378371.11475184455
2173,2017,辑匡,备肺备,亲积力贸规伏,6542719,1408739,21.53,91,903.8241143852252,2776.031208468906,14267.509234223913,7295.151780395033,517955.77640804736,4454.561706612896,306654.6102378443,258.2354612529215,2776.031208468906,231056.1789560515,0.0,1613.9716328307595,258.2354612529215,0.0,318468.8825901654
2174,2017,辑匡,陛玫备,亲积力贸规伏,3188036,746819,23.43,9,479.14696851656663,1471.6656890151687,7563.677145868659,3867.400531598002,274585.43774345814,2361.510059117364,162567.72146097795,136.89913386187618,1471.6656890151687,122490.50002291371,0.0,855.6195866367261,136.89913386187618,0.0,168830.8568351588
2175,2017,辑匡,康殿器备,亲积力贸规伏,7600971,1355812,17.84,144,869.8670088446909,2671.7343843086933,13731.472068191193,7021.069428532148,498495.9294257825,4287.201686448834,295133.4494294487,248.5334310984831,2671.7343843086933,222375.28747536775,0.0,1553.3339443655195,248.5334310984831,0.0,306503.8539022043
2176,2017,辑匡,悼累备,亲积力贸规伏,6027640,1010756,16.77,50,648.4846707300308,1991.7743458136656,10236.79373080977,5234.197699463819,371628.0366619312,3196.10302002658,220021.5847119747,185.28133449429447,1991.7743458136656,165780.47403877,0.0,1158.0083405893406,185.28133449429447,0.0,228498.20576508867
2177,2017,辑匡,包厩备,亲积力贸规伏,5599159,1117580,19.96,16,717.021218092663,2202.279455570322,11318.69208560561,5787.385546033637,410904.3737683883,3533.890289170982,243275.0561385821,204.86320516933228,2202.279455570322,183301.35282526005,0.0,1280.395032308327,204.86320516933228,0.0,252647.54777507906
2178,2017,辑匡,辑檬备,亲积力贸规伏,7526871,1203547,15.99,121,772.1762522340864,2371.6842032904083,12189.353695980935,6232.56546446084,442512.1479767197,3805.7258145822834,261988.3712937079,220.6217863525961,2371.6842032904083,197401.34333898537,0.0,1378.8861647037259,220.6217863525961,0.0,272081.8180193392
2179,2017,辑匡,碍巢备,亲积力贸规伏,13082701,2192898,16.76,217,1406.9278218230145,4321.278309884973,22209.360615920443,11355.917419000047,806270.1367490033,6934.144264699144,477350.51097566565,401.9793776637184,4321.278309884973,359671.04816461203,0.0,2512.3711103982405,401.9793776637184,0.0,495741.06750378077
2180,2017,辑匡,价颇备,亲积力贸规伏,11196469,1810964,16.17,121,1161.8851565006187,3568.647266394757,18341.187113331194,9378.073048897852,665843.1864717475,5726.433985610192,394211.0352412813,331.96718757160534,3568.647266394757,297027.64107969386,0.0,2074.7949223225337,331.96718757160534,0.0,409398.5340726823
2181,2017,辑匡,碍悼备,亲积力贸规伏,8079396,1260443,15.6,141,808.6798038586683,2483.8022547087667,12765.588332340407,6527.201274002108,463431.2904541497,3985.6361761605795,274373.5048806196,231.05137253104806,2483.8022547087667,206733.21557215526,0.0,1444.0710783190505,231.05137253104806,0.0,284944.10517391504
2182,2017,何魂,何魂,亲积力贸规伏,57213231,10832495,18.93,846,6658.979560473336,41618.622252958354,224740.5601659751,331284.23313354846,3740681.7680958966,36624.38758260335,2055959.9392961427,3329.489780236668,16647.448901183343,1841207.8484708774,0.0,26635.918241893345,18312.193791301674,8323.724450591671,2480469.8862763178
2183,2017,何魂,吝备,亲积力贸规伏,1517453,229161,15.1,2,140.87044721069617,880.4402950668511,4754.377593360996,7008.304748732135,79133.97372060857,774.787459658829,43493.750576302446,70.43522360534809,352.1761180267404,38950.67865375749,0.0,563.4817888427847,387.3937298294145,176.0880590133702,52474.241585984324
2184,2017,何魂,辑备,亲积力贸规伏,3906326,476585,12.2,208,292.9675733825111,1831.0473336406947,9887.655601659751,14575.136775779929,164574.53434762562,1611.3216536038112,90453.73828185031,146.48378669125555,732.4189334562778,81005.53404026432,0.0,1171.8702935300444,805.6608268019056,366.2094667281389,109130.4210849854
2185,2017,何魂,悼备,亲积力贸规伏,2650926,351198,13.25,22,215.88934993084368,1349.3084370677732,7286.265560165974,10740.495159059474,121275.84232365145,1187.3914246196405,66655.836791148,107.94467496542184,539.7233748271093,59693.40525587828,0.0,863.5573997233747,593.6957123098202,269.86168741355465,80418.78284923929
2186,2017,何魂,康档备,亲积力贸规伏,2066601,405150,19.6,6,249.0548639926233,1556.5928999538958,8405.601659751037,12390.479483633011,139906.56984785615,1369.8017519594282,76895.68925772245,124.52743199631165,622.6371599815583,68863.66989396035,0.0,996.2194559704932,684.9008759797141,311.31857999077914,92772.93683725219
2187,2017,何魂,何魂柳备,亲积力贸规伏,7615468,1318943,17.32,167,810.7840786844936,5067.400491778085,27363.96265560166,40336.50791455356,455457.9562010143,4459.312432764715,250329.5842938374,405.3920393422468,2026.9601967112342,224181.79775626247,0.0,3243.1363147379743,2229.6562163823573,1013.4800983556171,302017.06930997386
2188,2017,何魂,悼贰备,亲积力贸规伏,4748795,900419,18.96,20,553.5079145535576,3459.4244659597357,18680.89211618257,27537.018749039496,310933.07100046106,3044.2935300445674,170895.56861841094,276.7539572767788,1383.7697863838944,153044.9383740587,0.0,2214.0316582142304,1522.1467650222837,691.8848931919472,206181.69817120026
2189,2017,何魂,巢备,亲积力贸规伏,3529837,721319,20.43,15,443.4110957430459,2771.319348394037,14965.1244813278,22059.702013216534,249086.18303365607,2438.761026586753,136903.17581066545,221.70554787152295,1108.5277393576148,122603.1679729522,0.0,1773.6443829721836,1219.3805132933765,554.2638696788074,165170.6331642846
2190,2017,何魂,合备,亲积力贸规伏,4429649,834346,18.84,12,512.8913477793145,3205.5709236207163,17310.082987551865,25516.3445520209,288116.71461503,2820.9024127862303,158355.20362686337,256.44567388965726,1282.2283694482865,141814.45766098046,0.0,2051.565391117258,1410.4512063931152,641.1141847241432,191052.0270477947
2191,2017,何魂,秦款措备,亲积力贸规伏,6008230,1159475,19.3,198,712.7554940832948,4454.721838020593,24055.497925311203,35459.58583064392,400390.3988012909,3920.155217458122,220063.2587982173,356.3777470416474,1781.8887352082372,197076.89411403102,0.0,2851.0219763331793,1960.077608729061,890.9443676041186,265501.42154602736
2192,2017,何魂,荤窍备,亲积力贸规伏,4870441,1044350,21.44,6,641.985554018749,4012.4097126171814,21667.01244813278,31938.781312432766,360635.38497003226,3530.9205471031196,198213.03980328876,320.9927770093745,1604.9638850468727,177509.0056861841,0.0,2567.942216074996,1765.4602735515598,802.4819425234364,239139.618871984
2193,2017,何魂,陛沥备,亲积力贸规伏,3304472,700501,21.2,28,430.61380052251417,2691.336253265714,14533.215767634854,21423.036575995084,241897.30244352235,2368.375902873828,132952.01091132627,215.30690026125708,1076.5345013062856,119064.71584447517,0.0,1722.4552020900567,1184.187951436914,538.2672506531428,160403.64069463653
2194,2017,何魂,碍辑备,亲积力贸规伏,900437,369521,41.04,1,227.15291224834792,1419.7057015521746,7666.410788381742,11300.85738435531,127603.14845550945,1249.3410173659136,70133.46165667742,113.57645612417396,567.8822806208699,62807.7802366682,0.0,908.6116489933917,624.6705086829568,283.94114031043495,84614.45981250961
2195,2017,何魂,楷力备,亲积力贸规伏,3374041,629491,18.66,72,386.9623482403565,2418.514676502228,13059.979253112033,19251.376824957737,217376.0991240203,2128.292915321961,119474.62501921009,193.48117412017825,967.4058706008914,106995.08928845858,0.0,1547.849392961426,1064.1464576609806,483.7029353004457,144143.47471953282
